head verdictExported function jwksFetches 362 captured 441 rows test/prod/grace/limiter 162 161 6 7
merged17r2 verdictExported function jwksFetches 362 captured 720 rows test/prod/grace/limiter 162 161 6 7
=== test
O GET /dsr/:dsrId                  GET   /api/gdpr/dsr/u-1                            scope           | 200 h1 GET /api/gdpr/dsr/u-1 || 200 h1 GET /api/gdpr/dsr/u-1
O GET /dsr/user/:userId            GET   /api/gdpr/dsr/user/u-1                       noscope         | 200 h1 GET /api/gdpr/dsr/user/u-1 || 200 h1 GET /api/gdpr/dsr/user/u-1
O GET /dsr/user/:userId            GET   /api/gdpr/dsr/user/u-1                       scope           | 200 h1 GET /api/gdpr/dsr/user/u-1 || 200 h1 GET /api/gdpr/dsr/user/u-1
O PATCH /dsr/:dsrId                PATCH /api/gdpr/dsr/u-1                            noscope         | 200 h1 PATCH /api/gdpr/dsr/u-1 || 200 h1 PATCH /api/gdpr/dsr/u-1
O PATCH /dsr/:dsrId                PATCH /api/gdpr/dsr/u-1                            scope           | 200 h1 PATCH /api/gdpr/dsr/u-1 || 200 h1 PATCH /api/gdpr/dsr/u-1
O GET /export/:userId              GET   /api/gdpr/export/u-1                         noscope         | 200 h1 GET /api/gdpr/export/u-1 || 200 h1 GET /api/gdpr/export/u-1
O GET /export/:userId              GET   /api/gdpr/export/u-1                         scope           | 200 h1 GET /api/gdpr/export/u-1 || 200 h1 GET /api/gdpr/export/u-1
O GET /export/:userId/download     GET   /api/gdpr/export/u-1/download                noscope         | 200 h1 GET /api/gdpr/export/u-1/download || 200 h1 GET /api/gdpr/export/u-1/download
O GET /export/:userId/download     GET   /api/gdpr/export/u-1/download                scope           | 200 h1 GET /api/gdpr/export/u-1/download || 200 h1 GET /api/gdpr/export/u-1/download
O POST /erasures                   POST  /api/gdpr/erasures                           noscope         | 403/INSUFFICIENT_SCOPE h0 || 403/INSUFFICIENT_SCOPE h0
O POST /erasures                   POST  /api/gdpr/erasures                           scope           | 200 h1 POST /api/gdpr/erasures || 200 h1 POST /api/gdpr/erasures
O GET /erasures/:externalRef       GET   /api/gdpr/erasures/u-1                       noscope         | 403/INSUFFICIENT_SCOPE h0 || 403/INSUFFICIENT_SCOPE h0
O GET /erasures/:externalRef       GET   /api/gdpr/erasures/u-1                       scope           | 200 h1 GET /api/gdpr/erasures/u-1 || 200 h1 GET /api/gdpr/erasures/u-1
O POST /erasure/:userId            POST  /api/gdpr/erasure/u-1                        noscope         | 200 h1 POST /api/gdpr/erasure/u-1 || 200 h1 POST /api/gdpr/erasure/u-1
O POST /erasure/:userId            POST  /api/gdpr/erasure/u-1                        scope           | 200 h1 POST /api/gdpr/erasure/u-1 || 200 h1 POST /api/gdpr/erasure/u-1
O GET /retention                   GET   /api/gdpr/retention                          noscope         | 200 h1 GET /api/gdpr/retention || 200 h1 GET /api/gdpr/retention
O GET /retention                   GET   /api/gdpr/retention                          scope           | 200 h1 GET /api/gdpr/retention || 200 h1 GET /api/gdpr/retention
O POST /retention/enforce          POST  /api/gdpr/retention/enforce                  noscope         | 200 h1 POST /api/gdpr/retention/enforce || 200 h1 POST /api/gdpr/retention/enforce
O POST /retention/enforce          POST  /api/gdpr/retention/enforce                  scope           | 200 h1 POST /api/gdpr/retention/enforce || 200 h1 POST /api/gdpr/retention/enforce
O GET /deletion-log                GET   /api/gdpr/deletion-log                       noscope         | 200 h1 GET /api/gdpr/deletion-log || 200 h1 GET /api/gdpr/deletion-log
O GET /deletion-log                GET   /api/gdpr/deletion-log                       scope           | 200 h1 GET /api/gdpr/deletion-log || 200 h1 GET /api/gdpr/deletion-log
D06 abs v1 [v1 prefix]             POST  http://127.0.0.1/api/v1/gdpr/erasures        noscope         | 403/INSUFFICIENT_SCOPE h0 || 403/INSUFFICIENT_SCOPE h0
D06 abs v1 [v1 prefix]             POST  http://127.0.0.1/api/v1/gdpr/erasures        scope           | 200 h1 POST /api/v1/gdpr/erasures || 200 h1 POST /api/v1/gdpr/erasures
D25 v1 %65rasures [v1 prefix]      POST  /api/v1/gdpr/%65rasures                      noscope         | 403/INSUFFICIENT_SCOPE h0 || 403/INSUFFICIENT_SCOPE h0
D25 v1 %65rasures [v1 prefix]      POST  /api/v1/gdpr/%65rasures                      scope           | 200 h1 POST /api/v1/gdpr/%65rasures || 200 h1 POST /api/v1/gdpr/%65rasures
row diffs {} of 162
  head test refusal-oracle breaches (door/undetermined shape, no-scope token, not 400/403 or any upstream hit): 0 []
