drafter_extra_table 2026-09-17 17:05:27 AEST
== test
  M /api/x/../gdpr/erasures/abc      noscope  production | verdict r1              r2              | r1 400 BAD_REQUEST 0                                | r2 400 BAD_REQUEST 0                                
  M /api/x/../gdpr/erasures/abc      scope    production | verdict r1              r2              | r1 400 BAD_REQUEST 0                                | r2 400 BAD_REQUEST 0                                
  M /API/GDPR/erasures/..            noscope  production | verdict r1              r2              | r1 404 NOT_FOUND 0                                  | r2 404 NOT_FOUND 0                                  
  M /API/GDPR/erasures/..            scope    production | verdict r1              r2              | r1 404 NOT_FOUND 0                                  | r2 404 NOT_FOUND 0                                  
  M /API/GDPR/ERASURES/abc           noscope  production | verdict r1              r2              | r1 404 NOT_FOUND 0                                  | r2 404 NOT_FOUND 0                                  
  M /API/GDPR/ERASURES/abc           scope    production | verdict r1              r2              | r1 404 NOT_FOUND 0                                  | r2 404 NOT_FOUND 0                                  
  M /api/gdpr;x/erasures/..          noscope  production | verdict r1              r2              | r1 404 NOT_FOUND 0                                  | r2 404 NOT_FOUND 0                                  
  M /api/gdpr;x/erasures/..          scope    production | verdict r1              r2              | r1 404 NOT_FOUND 0                                  | r2 404 NOT_FOUND 0                                  
  M /api/%67dpr/erasures/abc         noscope  production | verdict r1              r2              | r1 404 NOT_FOUND 0                                  | r2 404 NOT_FOUND 0                                  
  M /api/%67dpr/erasures/abc         scope    production | verdict r1              r2              | r1 404 NOT_FOUND 0                                  | r2 404 NOT_FOUND 0                                  
  M /api/gdpr/./erasures/abc         noscope  production | verdict r1              r2              | r1 403 INSUFFICIENT_SCOPE 0                         | r2 403 INSUFFICIENT_SCOPE 0                         
  M /api/gdpr/./erasures/abc         scope    production | verdict r1              r2              | r1 200 - 1 GET /api/v1/gdpr/./erasures/abc          | r2 200 - 1 GET /api/v1/gdpr/./erasures/abc          
  M /api//gdpr/erasures/..           noscope  production | verdict r1              r2              | r1 200 - 1 GET /api/v1/gdpr/erasures/..             | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  M /api//gdpr/erasures/..           scope    production | verdict r1              r2              | r1 200 - 1 GET /api/v1/gdpr/erasures/..             | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  M /api/x/%2e%2e/gdpr/erasures/abc  noscope  production | verdict r1              r2              | r1 404 NOT_FOUND 0                                  | r2 404 NOT_FOUND 0                                  
  M /api/x/%2e%2e/gdpr/erasures/abc  scope    production | verdict r1              r2              | r1 404 NOT_FOUND 0                                  | r2 404 NOT_FOUND 0                                  
  M /api/gdpr%2ferasures/abc         noscope  production | verdict r1              r2              | r1 404 NOT_FOUND 0                                  | r2 404 NOT_FOUND 0                                  
  M /api/gdpr%2ferasures/abc         scope    production | verdict r1              r2              | r1 404 NOT_FOUND 0                                  | r2 404 NOT_FOUND 0                                  
  M /api/gdpr/erasures/abc           noscope  production | verdict r1              r2              | r1 403 INSUFFICIENT_SCOPE 0                         | r2 403 INSUFFICIENT_SCOPE 0                         
  M /api/gdpr/erasures/abc           scope    production | verdict r1              r2              | r1 200 - 1 GET /api/v1/gdpr/erasures/abc            | r2 200 - 1 GET /api/v1/gdpr/erasures/abc            
  M /api/gdpr/erasures/..            noscope  production | verdict r1              r2              | r1 200 - 1 GET /api/v1/gdpr/erasures/..             | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  M /api/gdpr/erasures/..            scope    production | verdict r1              r2              | r1 200 - 1 GET /api/v1/gdpr/erasures/..             | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  non-door originate route rows NOT 200+1 hit at r2: []
== originate (the REAL originate gdprRouter as upstream), rep 1 only
  test       OC origin GET abc    noscope | r1 403 INSUFFICIENT_SCOPE calls=[]                            | r2 403 INSUFFICIENT_SCOPE calls=[]                            
  test       OC origin GET abc    scope   | r1 200 - calls=['getErasureStatusByExternalRef:abc']          | r2 200 - calls=['getErasureStatusByExternalRef:abc']          
  test       OC origin GET abc    user    | r1 403 INSUFFICIENT_SCOPE calls=[]                            | r2 403 INSUFFICIENT_SCOPE calls=[]                            
  test       OC X01 %2e           noscope | r1 403 INSUFFICIENT_SCOPE calls=[]                            | r2 400 NON_CANONICAL_PATH calls=[]                            << CHANGED
  test       OC X01 %2e           scope   | r1 200 - calls=['getErasureStatusByExternalRef:.']            | r2 400 NON_CANONICAL_PATH calls=[]                            << CHANGED
  test       OC X01 %2e           user    | r1 403 INSUFFICIENT_SCOPE calls=[]                            | r2 400 NON_CANONICAL_PATH calls=[]                            << CHANGED
  test       OC X03 ..%3bx        noscope | r1 403 INSUFFICIENT_SCOPE calls=[]                            | r2 403 INSUFFICIENT_SCOPE calls=[]                            
